title,url,director,casts,rating_num,language,country,type,year,image
局外人,https://movie.douban.com/subject/26657283/,['克里斯托夫·巴拉蒂'],"['亚瑟·杜彭', '弗朗索瓦-格扎维埃·德梅松', '萨巴纳·奥扎尼', '陶菲克·杰拉巴', '托马斯·库芒']",7.5,['法语'],['法国'],"['剧情', '传记', '犯罪']",['2016'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2358639819.jpg']
桃色交易,https://movie.douban.com/subject/1301535/,['阿德里安·莱恩'],"['罗伯特·雷德福', '黛米·摩尔', '伍迪·哈里森', '奥利弗·普莱特', '比利·鲍伯·松顿']",7.4,['英语'],['美国'],"['剧情', '爱情']",['1993'],['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p949548990.jpg']
咖啡时光,https://movie.douban.com/subject/1310166/,['侯孝贤'],"['一青窈', '浅野忠信', '萩原圣人', '余贵美子', '小林稔侍']",7.4,"['日语', '英语']","['日本', '中国台湾']",['剧情'],['2003'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453471904.jpg']
虹猫蓝兔火凤凰,https://movie.douban.com/subject/4124917/,"['贺梦凡', '罗沐', '许龙', '赵玉碧']","['谢娜', '何炅', '杜海涛', '吴昕', '李维嘉']",7.4,['汉语普通话'],['中国大陆'],['动画'],['2010'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1365114936.jpg']
鬼故事,https://movie.douban.com/subject/26721644/,"['杰瑞米·德桑', '安迪·尼曼']","['安迪·尼曼', '马丁·弗瑞曼', '保罗·怀特豪斯', '埃里克斯·劳瑟', '保罗·沃伦']",7.2,['英语'],['英国'],"['剧情', '恐怖']",['2017'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528217984.jpg']
火箭人,https://movie.douban.com/subject/6895950/,['德克斯特·弗莱彻'],"['塔伦·埃哲顿', '杰米·贝尔', '理查德·麦登', '布莱丝·达拉斯·霍华德', '斯蒂文·麦金托什']",7.2,['英语'],"['英国', '美国', '加拿大']","['剧情', '同性', '音乐', '传记']",['2019'],['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2553820571.jpg']
瘦身大作战,https://movie.douban.com/subject/30183667/,['Aleksey Nuzhnyy'],"['亚历山德拉·伯蒂奇', '伊琳娜·戈尔巴乔娃', '谢尔盖·希纳罗维']",7.2,['俄语'],['俄罗斯'],['喜剧'],['2018'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2517783078.jpg']
季节与季节之间,https://movie.douban.com/subject/30318240/,['金準植'],"['李英珍', '尹惠利', '吴荷妮', '金永敏', '郑恩京']",7.1,['韩语'],['韩国'],"['剧情', '同性']",['2018'],['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2570192512.jpg']
分手信,https://movie.douban.com/subject/3078517/,['拉斯·霍尔斯道姆'],"['阿曼达·塞弗里德', '查宁·塔图姆', '理查德·詹金斯', '斯科特·波特', '亨利·托马斯']",7.0,['英语'],['美国'],"['剧情', '爱情', '战争']",['2010'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p500444655.jpg']
衣柜里的冒险王,https://movie.douban.com/subject/26715965/,['肯·斯科特'],"['丹努什', '贝热尼丝·贝乔', '艾琳·莫里亚蒂', '巴克德·阿巴蒂', '热拉尔·朱尼奥']",7.0,"['英语', '印度语']","['法国', '印度']","['喜剧', '冒险']",['2018'],['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2573630982.jpg']
